site,borough,crashes,observed_rate,excess,segment_id,metres,counters_in_range,names_both_streets,directions_counted,counted_year,confidence,vehicles_per_day,million_vehicles,crashes_per_million,harmful_per_million
BRUCKNER BOULEVARD @ LONGWOOD AVENUE,BRONX,142,0.528,0.066,77482,39.9,2,True,2,2016,high,11916,19.328,7.347,3.881
EASTERN PARKWAY @ KINGSTON AVENUE,BROOKLYN,39,0.385,-0.143,150051,133.6,1,True,2,2023,high,3694,5.991,6.509,2.504
108 STREET @ NORTHERN BOULEVARD,QUEENS,43,0.674,0.152,83469,128.1,1,True,2,2024,high,7542,12.233,3.515,2.371
1 AVENUE @ EAST 125 STREET,MANHATTAN,60,0.5,0.056,119730,110.1,3,True,2,2014,high,9592,15.558,3.856,1.928
1 AVENUE @ EAST 116 STREET,MANHATTAN,46,0.587,0.051,68530,108.2,1,True,2,2023,high,8936,14.495,3.174,1.863
FULTON STREET @ WASHINGTON AVENUE,BROOKLYN,31,0.516,-0.061,29256,86.9,1,True,2,2016,high,7823,12.689,2.443,1.261
JOHNSON AVENUE @ STEWART AVENUE,BROOKLYN,25,0.6,0.118,44785,68.5,1,True,2,2017,high,8465,13.731,1.821,1.092
34 AVENUE @ JUNCTION BOULEVARD,QUEENS,26,0.615,0.021,175499,68.1,1,True,2,2021,high,9427,15.291,1.7,1.046
KINGS HIGHWAY @ LINDEN BOULEVARD,BROOKLYN,50,0.48,0.025,167253,37.2,2,True,2,2024,high,14370,23.307,2.145,1.03
BROADWAY @ WEST 230 STREET,BRONX,72,0.444,0.051,79678,64.7,4,True,2,2012,high,20224,32.804,2.195,0.975
EASTERN PARKWAY @ WASHINGTON AVENUE,BROOKLYN,40,0.55,0.026,163727,67.8,2,True,2,2010,high,14046,22.783,1.756,0.966
4 AVENUE @ 9 STREET,BROOKLYN,35,0.486,-0.025,162207,134.8,1,True,2,2017,high,11305,18.336,1.909,0.927
EAST 168 STREET @ WEBSTER AVENUE,BRONX,31,0.613,0.066,72263,25.8,2,True,2,2015,high,12768,20.71,1.497,0.917
ADAMS STREET @ TILLARY STREET,BROOKLYN,116,0.44,-0.048,148076,71.0,5,True,3,2025,high,39616,64.257,1.805,0.794
ATLANTIC AVENUE @ FLATBUSH AVENUE,BROOKLYN,107,0.43,-0.044,28962,55.4,1,True,2,2024,high,36085,58.53,1.828,0.786
BROADWAY @ WEST 96 STREET,MANHATTAN,35,0.571,-0.004,165958,86.4,2,True,2,2025,high,16238,26.338,1.329,0.759
8 AVENUE @ UNION STREET,BROOKLYN,40,0.35,-0.084,29025,119.3,1,True,2,2014,high,11890,19.286,2.074,0.726
PELHAM PARKWAY @ WHITE PLAINS ROAD,BRONX,63,0.682,0.114,9008825,105.3,2,True,2,2025,high,36754,59.615,1.057,0.721
LINDEN BOULEVARD @ UTICA AVENUE,BROOKLYN,36,0.444,-0.003,42089,30.9,2,True,2,2024,high,13684,22.195,1.622,0.721
EAST 170 STREET @ MORRIS AVENUE,BRONX,30,0.533,0.005,72152,14.6,2,True,2,2016,high,14085,22.847,1.313,0.7
LINDEN BOULEVARD @ NOSTRAND AVENUE,BROOKLYN,33,0.667,0.115,28605,121.8,2,True,2,2011,high,19902,32.28,1.022,0.682
CLARENDON ROAD @ RALPH AVENUE,BROOKLYN,41,0.658,0.15,42445,18.0,2,True,2,2011,high,25408,41.212,0.995,0.655
BOWERY @ CANAL STREET,MANHATTAN,74,0.392,-0.074,32478,65.7,1,True,2,2016,high,27798,45.088,1.641,0.643
BROADWAY @ QUEENS BOULEVARD,QUEENS,25,0.44,-0.139,253492,22.2,2,True,2,2024,high,11210,18.183,1.375,0.605
3 AVENUE @ 65 STREET,BROOKLYN,31,0.323,-0.072,161216,14.2,3,True,2,2022,high,10287,16.685,1.858,0.599
BRONX RIVER AVENUE @ WESTCHESTER AVENUE,BRONX,35,0.6,0.139,79057,126.1,3,True,2,2014,high,23783,38.576,0.907,0.544
FLUSHING AVENUE @ HUMBOLDT STREET,BROOKLYN,32,0.438,-0.047,44148,41.2,1,True,2,2014,high,16334,26.493,1.208,0.528
RIVERSIDE DRIVE @ WEST 165 STREET,MANHATTAN,41,0.488,0.125,70704,80.5,2,True,2,2019,high,23844,38.675,1.06,0.517
FLATLANDS AVENUE @ LOUISIANA AVENUE,BROOKLYN,31,0.677,0.126,157900,21.5,1,True,2,2013,high,25233,40.928,0.757,0.513
11 AVENUE @ WEST 42 STREET,MANHATTAN,46,0.283,-0.111,164628,61.6,2,True,2,2022,high,15781,25.597,1.797,0.508
NORTHERN BOULEVARD @ UNION STREET,QUEENS,62,0.581,0.012,179249,6.9,1,True,2,2014,high,43781,71.012,0.873,0.507
LIBERTY AVENUE @ SUTPHIN BOULEVARD,QUEENS,29,0.724,0.064,57194,19.7,1,True,2,2021,high,25886,41.988,0.691,0.5
LENOX AVENUE @ WEST 116 STREET,MANHATTAN,33,0.364,-0.168,166478,130.0,1,True,2,2014,high,14954,24.255,1.361,0.495
AMSTERDAM AVENUE @ WEST 178 STREET,MANHATTAN,52,0.288,-0.054,108162,38.4,5,True,2,2021,high,19054,30.906,1.683,0.485
86 STREET @ BAY PARKWAY,BROOKLYN,31,0.645,0.068,18909,41.4,6,True,2,2017,high,25470,41.313,0.75,0.484
ATLANTIC AVENUE @ NEVINS STREET,BROOKLYN,42,0.476,0.006,22825,0.4,3,True,2,2021,high,27571,44.72,0.939,0.447
ATLANTIC AVENUE @ HICKS STREET,BROOKLYN,81,0.185,-0.104,23655,69.2,2,True,2,2011,high,20996,34.055,2.378,0.44
FLATBUSH AVENUE @ GLENWOOD ROAD,BROOKLYN,30,0.533,0.131,28637,4.6,4,True,2,2023,high,22620,36.689,0.818,0.436
3 AVENUE @ 3 STREET,BROOKLYN,25,0.44,0.001,105839,82.3,5,True,2,2024,high,18086,29.335,0.852,0.375
69 STREET @ NORTHERN BOULEVARD,QUEENS,26,0.538,0.032,75814,39.5,3,True,2,2024,high,23067,37.415,0.695,0.374
ALLEN STREET @ EAST HOUSTON STREET,MANHATTAN,31,0.419,-0.141,151599,41.2,2,True,2,2013,high,25702,41.689,0.744,0.312
HARLEM RIVER DRIVE @ WEST 155 STREET,MANHATTAN,39,0.308,-0.049,71025,32.4,2,True,2,2024,high,26448,42.899,0.909,0.28
3 AVENUE @ PROSPECT AVENUE,BROOKLYN,34,0.412,0.053,195025,58.8,4,True,2,2025,high,31258,50.7,0.671,0.276
JUNCTION BOULEVARD @ NORTHERN BOULEVARD,QUEENS,25,0.52,-0.102,76771,14.8,4,True,2,2022,high,30068,48.77,0.513,0.267
ATLANTIC AVENUE @ BOERUM PLACE,BROOKLYN,51,0.255,-0.141,132626,78.2,2,True,2,2020,high,31545,51.165,0.997,0.254
9 AVENUE @ WEST 34 STREET,MANHATTAN,25,0.44,-0.059,33662,1.8,1,True,3,2023,high,35848,58.145,0.43,0.189
DREW STREET @ LINDEN BOULEVARD,BROOKLYN,40,0.675,0.219,158079,121.7,1,False,1,2013,low,902,1.464,27.332,18.449
BRUCKNER BOULEVARD @ EAST 138 STREET,BRONX,161,0.478,0.058,70153,88.4,2,False,1,2015,low,3500,5.677,28.362,13.566
