factor,crashes,predicted_rate,observed_rate
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,4706,0.8327530002008975,0.8309
Lost Consciousness,842,0.8309347056808916,0.7933
Not recorded,2798,0.830064182355217,0.8452
Illnes,710,0.7537972411294169,0.7028
Failure To Yield Right-Of-Way,28247,0.6849871195475593,0.7102
Traffic Control Disregarded,11384,0.6257975490100157,0.6369
Glare,690,0.6110219365905735,0.5884
Passenger Distraction,1198,0.5153164209643718,0.5534
Unsafe Speed,14581,0.5045591616469154,0.4969
View Obstructed/Limited,3884,0.5000793101075015,0.5214
Brakes Defective,1590,0.4891096879190829,0.495
Driver Inattention/Distraction,101478,0.42191935451047485,0.436
Aggressive Driving/Road Rage,3537,0.4212748577739371,0.3904
Following Too Closely,24805,0.41972714402590133,0.4445
Outside Car Distraction,921,0.4148545922471229,0.3952
Fell Asleep,1848,0.4057132348352252,0.3994
Reaction To Uninvolved Vehicle,4702,0.40355650155137274,0.4351
Pavement Slippery,3172,0.3990466179553493,0.4174
Alcohol Involvement,7716,0.3948724081040647,0.3625
Driver Inexperience,8828,0.37968190246385325,0.379
Turning Improperly,9633,0.37007225413540457,0.3873
Other Vehicular,13215,0.34463431427115526,0.3631
Steering Failure,897,0.33738178459392715,0.311
Obstruction/Debris,882,0.33119459442987076,0.3469
Tire Failure/Inadequate,652,0.3293529541025334,0.3298
Unsafe Lane Changing,8436,0.3280721849554547,0.3681
Unspecified,102528,0.3091314866229108,0.3399
Passing Or Lane Usage Improper,17483,0.2881063962612396,0.3154
Backing Unsafely,12559,0.20791923367522944,0.2189
Passing Too Closely,14172,0.13364032548561175,0.1467
Oversized Vehicle,1655,0.13039924407175627,0.1523
