site,borough,crashes,observed_rate,expected_rate,base_rate,excess,excess_z,excess_lower_95,latitude,longitude,top_factors
2 AVENUE @ EAST 40 STREET,MANHATTAN,31,0.871,0.575,0.3444,0.2758,3.8575,0.1357,40.74854,-73.97315,Driver Inattention/Distraction; Backing Unsafely
EAST 161 STREET @ MELROSE AVENUE,BRONX,53,0.7736,0.533,0.3385,0.2205,3.9712,0.1117,40.82419,-73.91385,Driver Inattention/Distraction; Traffic Control Disregarded
CROSS BRONX EXPRESSWAY @ RANDALL AVENUE,BRONX,28,0.7143,0.4245,0.3653,0.2696,3.1419,0.1014,40.824715,-73.82474,Following Too Closely; Driver Inattention/Distraction
EAST 149 STREET @ PARK AVENUE,BRONX,31,0.6452,0.3773,0.3427,0.2477,3.3146,0.1012,40.818012,-73.92519,Driver Inattention/Distraction; Backing Unsafely
AVENUE D @ KINGS HIGHWAY,BROOKLYN,38,0.7368,0.4768,0.3809,0.2399,3.3501,0.0995,40.642384,-73.925385,Driver Inattention/Distraction; Turning Improperly
AVENUE C @ OCEAN PARKWAY,BROOKLYN,38,0.7895,0.5255,0.3726,0.2438,3.2921,0.0986,40.640915,-73.97364,Driver Inattention/Distraction; Alcohol Involvement
AVENUE U @ GERRITSEN AVENUE,BROOKLYN,31,0.8387,0.5649,0.3629,0.2537,3.1771,0.0972,40.601734,-73.935036,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
CHURCH AVENUE @ FLATBUSH AVENUE,BROOKLYN,42,0.7619,0.5223,0.3628,0.2194,3.5012,0.0966,40.650387,-73.95872,Driver Inattention/Distraction; Passing Or Lane Usage Improper
BELT PARKWAY @ KNAPP STREET,BROOKLYN,32,0.6875,0.4106,0.3707,0.2568,3.1149,0.0952,40.585438,-73.931274,Driver Inattention/Distraction; Following Too Closely
LINDEN BOULEVARD @ MALTA STREET,BROOKLYN,26,0.6923,0.4035,0.3578,0.2686,3.0322,0.095,40.657555,-73.894196,Following Too Closely; Driver Inattention/Distraction
EAST 174 STREET @ JEROME AVENUE,BRONX,26,0.6538,0.3795,0.3381,0.2542,3.0036,0.0883,40.84543,-73.91399,Driver Inattention/Distraction; Other Vehicular
EAST 37 STREET @ LEXINGTON AVENUE,MANHATTAN,25,0.8,0.5285,0.3547,0.2513,2.9738,0.0857,40.748302,-73.97835,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
MOSHOLU PARKWAY @ WEST GUN HILL ROAD,BRONX,37,0.7027,0.4452,0.3533,0.2373,3.0355,0.0841,40.884346,-73.88706,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
4 AVENUE @ 65 STREET,BROOKLYN,31,0.6774,0.4236,0.3734,0.2336,3.0597,0.084,40.638264,-74.021095,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
DREW STREET @ LINDEN BOULEVARD,BROOKLYN,40,0.675,0.4356,0.3685,0.2192,3.1464,0.0827,40.669724,-73.86097,Driver Inattention/Distraction; Traffic Control Disregarded
FEATHERBED LANE @ MACOMBS ROAD,BRONX,43,0.7674,0.5463,0.3646,0.201,3.2368,0.0793,40.845436,-73.91708,Driver Inattention/Distraction; Failure To Yield Right-Of-Way
I 678 @ LINDEN PLACE,QUEENS,36,0.6667,0.4223,0.3715,0.2242,3.0128,0.0783,40.771347,-73.83339,Driver Inattention/Distraction; Passing Or Lane Usage Improper
